date,open,high,low,close,volume,barCount,average
2015-01-02,24.475,24.775,24.155,24.54,-1,-1,-1.0
2015-01-05,24.21,24.485,23.325,24.055,-1,-1,-1.0
2015-01-06,24.16,24.685,23.795,24.53,-1,-1,-1.0
2015-01-07,24.705,24.955,24.265,24.52,-1,-1,-1.0
2015-01-08,24.62,25.635,24.44,24.995,-1,-1,-1.0
2015-01-09,24.935,25.355,24.725,25.135,-1,-1,-1.0
2015-01-12,25.075,25.355,24.11,24.56,-1,-1,-1.0
2015-01-13,24.72,25.48,24.46,24.85,-1,-1,-1.0
2015-01-14,24.565,25.005,24.42,24.945,-1,-1,-1.0
2015-01-15,24.935,25.155,24.22,24.51,-1,-1,-1.0
2015-01-16,24.485,24.735,24.47,24.585,-1,-1,-1.0
2015-01-20,24.565,24.69,23.695,24.24,-1,-1,-1.0
2015-01-21,24.075,24.64,23.98,24.355,-1,-1,-1.0
2015-01-22,24.52,24.93,24.07,24.765,-1,-1,-1.0
2015-01-23,24.725,25.995,24.435,25.915,-1,-1,-1.0
2015-01-26,25.635,25.66,24.01,24.475,-1,-1,-1.0
2015-01-27,24.175,25.08,23.865,24.365,-1,-1,-1.0
2015-01-28,24.465,24.675,23.92,24.035,-1,-1,-1.0
2015-01-29,24.055,25.06,23.93,25.025,-1,-1,-1.0
2015-01-30,24.82,25.125,24.07,24.185,-1,-1,-1.0
2015-02-02,24.3,24.395,22.845,23.46,-1,-1,-1.0
2015-02-03,23.5,23.68,23.07,23.47,-1,-1,-1.0
2015-02-04,23.265,23.985,23.265,23.97,-1,-1,-1.0
2015-02-05,23.71,24.9,23.71,24.765,-1,-1,-1.0
2015-02-06,24.815,26.095,24.815,26.05,-1,-1,-1.0
2015-02-09,25.925,25.955,24.805,25.385,-1,-1,-1.0
2015-02-10,25.515,25.925,24.92,25.84,-1,-1,-1.0
2015-02-11,25.855,26.325,24.94,25.395,-1,-1,-1.0
2015-02-12,26.05,26.34,22.2,24.365,-1,-1,-1.0
2015-02-13,24.125,25.41,23.725,25.38,-1,-1,-1.0
2015-02-17,24.665,25.13,24.085,24.28,-1,-1,-1.0
2015-02-18,23.945,24.215,23.085,23.76,-1,-1,-1.0
2015-02-19,23.49,24.215,22.785,24.105,-1,-1,-1.0
2015-02-20,23.965,24.36,23.885,24.255,-1,-1,-1.0
2015-02-23,24.175,24.255,23.785,24.085,-1,-1,-1.0
2015-02-24,24.425,24.545,23.815,24.125,-1,-1,-1.0
2015-02-25,25.35,25.35,23.97,24.41,-1,-1,-1.0
2015-02-26,24.8,24.805,24.02,24.625,-1,-1,-1.0
2015-02-27,24.485,24.705,24.235,24.69,-1,-1,-1.0
2015-03-02,24.63,24.735,23.955,24.12,-1,-1,-1.0
2015-03-03,23.955,23.965,22.515,22.595,-1,-1,-1.0
2015-03-04,22.475,23.48,22.345,23.055,-1,-1,-1.0
2015-03-05,23.06,23.555,23.005,23.425,-1,-1,-1.0
2015-03-06,23.255,23.435,22.745,23.005,-1,-1,-1.0
2015-03-09,22.985,23.085,22.545,22.975,-1,-1,-1.0
2015-03-10,22.485,22.5,21.285,22.205,-1,-1,-1.0
2015-03-11,22.49,22.765,21.665,22.62,-1,-1,-1.0
2015-03-12,22.32,22.9,22.175,22.605,-1,-1,-1.0
2015-03-13,22.43,22.79,22.395,22.54,-1,-1,-1.0
2015-03-16,22.59,22.795,22.22,22.695,-1,-1,-1.0
2015-03-17,22.125,22.595,21.74,22.16,-1,-1,-1.0
2015-03-18,21.98,23.635,21.825,23.315,-1,-1,-1.0
2015-03-19,23.905,23.91,22.755,23.405,-1,-1,-1.0
2015-03-20,23.28,23.475,22.175,22.175,-1,-1,-1.0
2015-03-23,22.065,23.065,21.65,22.975,-1,-1,-1.0
2015-03-24,22.905,23.19,22.695,22.715,-1,-1,-1.0
2015-03-25,22.735,22.965,22.155,22.325,-1,-1,-1.0
2015-03-26,22.14,22.545,22.14,22.415,-1,-1,-1.0
2015-03-27,22.36,22.91,22.04,22.23,-1,-1,-1.0
2015-03-30,22.36,22.87,22.235,22.835,-1,-1,-1.0
2015-03-31,22.715,22.925,22.455,22.715,-1,-1,-1.0
2015-04-01,22.66,22.695,22.4,22.575,-1,-1,-1.0
2015-04-02,22.56,22.76,22.415,22.505,-1,-1,-1.0
2015-04-06,22.29,22.585,22.23,22.54,-1,-1,-1.0
2015-04-07,22.555,22.89,22.4,22.505,-1,-1,-1.0
2015-04-08,23.17,23.25,22.415,22.635,-1,-1,-1.0
2015-04-09,22.58,22.86,22.505,22.765,-1,-1,-1.0
2015-04-10,22.83,22.995,22.705,22.775,-1,-1,-1.0
2015-04-13,22.745,22.985,22.64,22.675,-1,-1,-1.0
2015-04-14,22.725,22.98,22.3,22.48,-1,-1,-1.0
2015-04-15,22.52,23.205,22.395,23.155,-1,-1,-1.0
2015-04-16,22.4,23.955,22.4,23.885,-1,-1,-1.0
2015-04-17,23.52,23.64,23.105,23.4,-1,-1,-1.0
2015-04-20,23.495,23.61,23.345,23.43,-1,-1,-1.0
2015-04-21,23.53,23.915,23.455,23.785,-1,-1,-1.0
2015-04-22,23.96,23.96,23.55,23.615,-1,-1,-1.0
2015-04-23,23.6,24.005,23.505,23.805,-1,-1,-1.0
2015-04-24,23.89,23.89,23.385,23.43,-1,-1,-1.0
2015-04-27,23.465,23.745,23.09,23.235,-1,-1,-1.0
2015-04-28,23.03,23.57,22.695,23.325,-1,-1,-1.0
2015-04-29,23.165,23.895,22.995,23.505,-1,-1,-1.0
2015-04-30,23.38,23.625,22.84,23.06,-1,-1,-1.0
2015-05-01,23.105,23.25,22.53,22.6,-1,-1,-1.0
2015-05-04,22.61,22.65,22.165,22.29,-1,-1,-1.0
2015-05-05,22.28,22.3,20.29,20.585,-1,-1,-1.0
2015-05-06,23.33,23.33,20.97,21.945,-1,-1,-1.0
2015-05-07,21.94,23.28,21.84,22.97,-1,-1,-1.0
2015-05-08,23.06,23.59,22.945,23.075,-1,-1,-1.0
2015-05-11,23.02,23.595,22.935,23.24,-1,-1,-1.0
2015-05-12,22.8,22.8,21.755,22.245,-1,-1,-1.0
2015-05-13,22.135,22.835,22.135,22.58,-1,-1,-1.0
2015-05-14,22.665,22.93,22.335,22.575,-1,-1,-1.0
2015-05-15,22.57,22.715,22.065,22.3,-1,-1,-1.0
2015-05-18,21.44,22.145,21.39,22.115,-1,-1,-1.0
2015-05-19,22.11,22.64,22.01,22.575,-1,-1,-1.0
2015-05-20,21.67,22.69,21.595,22.555,-1,-1,-1.0
2015-05-21,22.61,22.83,22.525,22.71,-1,-1,-1.0
2015-05-22,22.6,22.895,22.505,22.655,-1,-1,-1.0
2015-05-26,22.165,22.915,21.985,22.785,-1,-1,-1.0
2015-05-27,22.655,22.985,22.565,22.955,-1,-1,-1.0
2015-05-28,22.895,23.065,22.72,23.035,-1,-1,-1.0
2015-05-29,22.985,23.175,22.925,23.015,-1,-1,-1.0
2015-06-01,23.085,23.18,22.49,22.555,-1,-1,-1.0
2015-06-02,22.41,22.495,21.875,22.315,-1,-1,-1.0
2015-06-03,22.39,22.795,22.325,22.725,-1,-1,-1.0
2015-06-04,22.59,22.825,22.515,22.77,-1,-1,-1.0
2015-06-05,22.805,23.405,22.665,23.395,-1,-1,-1.0
2015-06-08,23.415,23.49,23.035,23.245,-1,-1,-1.0
2015-06-09,23.11,23.295,22.74,23.235,-1,-1,-1.0
2015-06-10,22.795,23.145,22.405,22.845,-1,-1,-1.0
2015-06-11,22.895,22.985,22.555,22.935,-1,-1,-1.0
2015-06-12,22.825,22.945,22.695,22.875,-1,-1,-1.0
2015-06-15,21.92,23.175,21.785,22.935,-1,-1,-1.0
2015-06-16,22.92,23.925,22.915,23.845,-1,-1,-1.0
2015-06-17,23.91,23.985,23.465,23.495,-1,-1,-1.0
2015-06-18,23.015,23.715,22.97,23.345,-1,-1,-1.0
2015-06-19,23.385,24.125,23.28,24.075,-1,-1,-1.0
2015-06-22,24.53,24.605,24.03,24.195,-1,-1,-1.0
2015-06-23,23.995,24.675,23.99,24.505,-1,-1,-1.0
2015-06-24,24.425,24.65,24.2,24.265,-1,-1,-1.0
2015-06-25,24.32,24.365,24.185,24.275,-1,-1,-1.0
2015-06-26,24.32,24.41,23.555,23.645,-1,-1,-1.0
2015-06-29,24.185,24.185,22.66,22.715,-1,-1,-1.0
2015-06-30,23.125,23.425,22.115,22.215,-1,-1,-1.0
2015-07-01,22.29,22.46,21.675,21.735,-1,-1,-1.0
2015-07-02,21.74,21.74,21.085,21.56,-1,-1,-1.0
2015-07-06,21.61,21.835,20.935,21.165,-1,-1,-1.0
2015-07-07,21.04,21.125,20.66,21.015,-1,-1,-1.0
