date,open,high,low,close,volume,barCount,average
2015-01-02,70.905,74.93,70.06,74.68,-1,-1,-1.0
2015-01-05,74.545,78.365,74.12,75.215,-1,-1,-1.0
2015-01-06,75.74,77.285,72.42,75.68,-1,-1,-1.0
2015-01-07,78.63,83.495,78.185,82.905,-1,-1,-1.0
2015-01-08,84.415,84.715,82.21,83.68,-1,-1,-1.0
2015-01-09,87.49,94.875,86.46,89.145,-1,-1,-1.0
2015-01-12,87.735,87.735,71.715,74.035,-1,-1,-1.0
2015-01-13,74.385,74.935,65.605,66.545,-1,-1,-1.0
2015-01-14,65.03,66.205,63.035,64.995,-1,-1,-1.0
2015-01-15,66.035,66.69,61.87,62.045,-1,-1,-1.0
2015-01-16,61.87,64.645,61.495,63.51,-1,-1,-1.0
2015-01-20,63.735,64.135,61.11,62.995,-1,-1,-1.0
2015-01-21,62.915,65.075,62.005,63.48,-1,-1,-1.0
2015-01-22,63.965,64.9,61.14,61.425,-1,-1,-1.0
2015-01-23,61.49,61.935,57.27,61.03,-1,-1,-1.0
2015-01-26,59.645,61.565,59.18,60.105,-1,-1,-1.0
2015-01-27,59.045,61.875,58.415,61.46,-1,-1,-1.0
2015-01-28,61.775,63.03,60.44,60.545,-1,-1,-1.0
2015-01-29,60.725,61.08,58.315,60.515,-1,-1,-1.0
2015-01-30,59.79,60.97,59.54,59.865,-1,-1,-1.0
2015-02-02,59.855,59.855,55.62,55.97,-1,-1,-1.0
2015-02-03,56.16,58.645,55.58,58.09,-1,-1,-1.0
2015-02-04,58.665,59.34,57.795,58.085,-1,-1,-1.0
2015-02-05,58.49,58.495,56.81,57.83,-1,-1,-1.0
2015-02-06,57.77,58.06,55.685,56.33,-1,-1,-1.0
2015-02-09,56.045,57.09,55.775,56.655,-1,-1,-1.0
2015-02-10,56.81,58.37,56.395,58.24,-1,-1,-1.0
2015-02-11,58.19,61.24,57.97,60.0,-1,-1,-1.0
2015-02-12,59.42,60.875,58.93,60.105,-1,-1,-1.0
2015-02-13,60.09,64.215,60.03,62.97,-1,-1,-1.0
2015-02-17,62.895,63.445,61.18,62.365,-1,-1,-1.0
2015-02-18,62.655,65.575,62.225,64.395,-1,-1,-1.0
2015-02-19,64.375,65.71,64.23,65.275,-1,-1,-1.0
2015-02-20,65.24,65.735,64.585,65.03,-1,-1,-1.0
2015-02-23,64.925,65.085,63.3,63.89,-1,-1,-1.0
2015-02-24,63.67,64.83,63.16,63.485,-1,-1,-1.0
2015-02-25,63.59,66.15,63.28,64.33,-1,-1,-1.0
2015-02-26,64.59,66.32,64.135,64.97,-1,-1,-1.0
2015-02-27,65.08,65.725,62.255,63.4,-1,-1,-1.0
2015-03-02,61.95,64.22,61.065,64.025,-1,-1,-1.0
2015-03-03,63.845,66.06,63.645,65.385,-1,-1,-1.0
2015-03-04,68.33,70.055,67.22,68.185,-1,-1,-1.0
2015-03-05,69.275,74.785,68.93,73.43,-1,-1,-1.0
2015-03-06,72.32,72.655,65.715,66.975,-1,-1,-1.0
2015-03-09,66.625,66.65,54.805,55.325,-1,-1,-1.0
2015-03-10,53.61,55.265,52.28,53.495,-1,-1,-1.0
2015-03-11,53.35,53.895,49.015,49.935,-1,-1,-1.0
2015-03-12,49.605,50.65,49.12,49.275,-1,-1,-1.0
2015-03-13,49.415,50.365,47.535,47.605,-1,-1,-1.0
2015-03-16,48.43,48.43,45.26,47.365,-1,-1,-1.0
2015-03-17,46.955,50.27,46.62,50.115,-1,-1,-1.0
2015-03-18,50.225,52.02,49.32,51.665,-1,-1,-1.0
2015-03-19,51.78,51.795,50.11,50.845,-1,-1,-1.0
2015-03-20,51.01,53.95,50.58,53.045,-1,-1,-1.0
2015-03-23,53.36,54.83,53.005,53.04,-1,-1,-1.0
2015-03-24,53.17,53.83,51.91,52.645,-1,-1,-1.0
2015-03-25,52.62,53.12,50.51,50.645,-1,-1,-1.0
2015-03-26,50.375,51.92,50.15,50.63,-1,-1,-1.0
2015-03-27,50.62,51.41,49.55,51.135,-1,-1,-1.0
2015-03-30,51.565,51.745,49.34,50.21,-1,-1,-1.0
2015-03-31,49.87,52.58,48.85,50.885,-1,-1,-1.0
2015-04-01,50.795,51.06,49.805,50.145,-1,-1,-1.0
2015-04-02,50.355,50.92,49.64,49.945,-1,-1,-1.0
2015-04-06,49.425,50.72,49.125,50.45,-1,-1,-1.0
2015-04-07,50.05,52.81,50.05,51.215,-1,-1,-1.0
2015-04-08,51.5,56.28,51.07,54.4,-1,-1,-1.0
2015-04-09,54.985,57.14,52.71,55.0,-1,-1,-1.0
2015-04-10,55.15,56.33,53.72,54.05,-1,-1,-1.0
2015-04-13,54.91,55.89,52.895,52.93,-1,-1,-1.0
2015-04-14,52.98,57.465,51.325,57.12,-1,-1,-1.0
2015-04-15,57.62,58.435,55.965,57.515,-1,-1,-1.0
2015-04-16,57.145,57.915,56.655,56.845,-1,-1,-1.0
2015-04-17,55.675,56.465,53.455,56.335,-1,-1,-1.0
2015-04-20,56.675,56.675,54.785,55.18,-1,-1,-1.0
2015-04-21,55.405,56.645,55.005,56.285,-1,-1,-1.0
2015-04-22,56.255,58.97,56.185,57.125,-1,-1,-1.0
2015-04-23,56.82,60.925,56.67,58.78,-1,-1,-1.0
2015-04-24,58.88,62.525,58.85,61.645,-1,-1,-1.0
2015-04-27,62.185,65.665,62.16,64.83,-1,-1,-1.0
2015-04-28,64.635,65.105,59.825,59.91,-1,-1,-1.0
2015-04-29,59.355,60.8,56.965,59.6,-1,-1,-1.0
2015-04-30,60.215,61.635,58.97,59.475,-1,-1,-1.0
2015-05-01,60.16,61.545,58.48,61.365,-1,-1,-1.0
2015-05-04,62.08,63.59,61.055,62.8,-1,-1,-1.0
2015-05-05,62.74,63.275,60.17,60.91,-1,-1,-1.0
2015-05-06,61.285,62.09,58.765,59.2,-1,-1,-1.0
2015-05-07,59.42,61.48,58.89,60.76,-1,-1,-1.0
2015-05-08,62.055,62.465,54.685,62.195,-1,-1,-1.0
2015-05-11,63.075,65.355,62.3,63.195,-1,-1,-1.0
2015-05-12,62.71,63.345,61.5,61.955,-1,-1,-1.0
2015-05-13,62.23,62.985,61.55,62.265,-1,-1,-1.0
2015-05-14,63.0,63.72,61.17,62.135,-1,-1,-1.0
2015-05-15,62.29,62.945,61.155,62.01,-1,-1,-1.0
2015-05-18,61.825,62.965,61.2,62.14,-1,-1,-1.0
2015-05-19,62.48,63.39,59.525,59.845,-1,-1,-1.0
2015-05-20,60.2,61.43,59.135,60.86,-1,-1,-1.0
2015-05-21,60.9,62.37,60.2,61.75,-1,-1,-1.0
2015-05-22,61.44,65.07,61.44,65.005,-1,-1,-1.0
2015-05-26,64.755,67.685,64.165,64.425,-1,-1,-1.0
2015-05-27,64.81,65.705,64.07,64.635,-1,-1,-1.0
2015-05-28,62.835,63.065,60.465,62.17,-1,-1,-1.0
2015-05-29,61.9,62.335,60.245,60.555,-1,-1,-1.0
2015-06-01,61.34,61.555,60.195,60.855,-1,-1,-1.0
2015-06-02,60.725,61.02,60.015,60.2,-1,-1,-1.0
2015-06-03,60.405,60.755,59.05,59.46,-1,-1,-1.0
2015-06-04,59.62,59.675,57.905,58.575,-1,-1,-1.0
2015-06-05,58.525,62.385,58.4,61.015,-1,-1,-1.0
2015-06-08,60.805,62.74,59.685,59.94,-1,-1,-1.0
2015-06-09,59.93,60.55,58.555,60.005,-1,-1,-1.0
2015-06-10,60.025,63.325,59.77,62.165,-1,-1,-1.0
2015-06-11,62.14,62.715,59.105,60.305,-1,-1,-1.0
2015-06-12,60.08,62.815,59.755,62.095,-1,-1,-1.0
2015-06-15,61.315,61.875,60.555,61.29,-1,-1,-1.0
2015-06-16,61.125,61.25,59.755,60.18,-1,-1,-1.0
2015-06-17,61.85,63.925,61.16,63.445,-1,-1,-1.0
2015-06-18,63.355,63.465,62.195,62.97,-1,-1,-1.0
2015-06-19,62.64,62.65,56.555,57.255,-1,-1,-1.0
2015-06-22,57.64,58.405,54.315,54.545,-1,-1,-1.0
2015-06-23,55.105,57.4,54.65,55.475,-1,-1,-1.0
2015-06-24,55.15,56.085,54.815,55.18,-1,-1,-1.0
2015-06-25,55.295,55.93,54.33,54.485,-1,-1,-1.0
2015-06-26,52.655,53.21,50.235,51.745,-1,-1,-1.0
2015-06-29,49.77,51.31,49.37,49.495,-1,-1,-1.0
2015-06-30,50.3,52.11,50.19,51.065,-1,-1,-1.0
2015-07-01,50.905,52.04,50.355,50.63,-1,-1,-1.0
2015-07-02,50.56,50.89,49.325,49.6,-1,-1,-1.0
2015-07-06,47.775,48.125,46.14,47.235,-1,-1,-1.0
2015-07-07,45.435,45.68,37.425,45.045,-1,-1,-1.0
2015-07-08,40.47,46.645,40.005,46.465,-1,-1,-1.0
2015-07-09,49.61,49.7,47.165,48.21,-1,-1,-1.0
2015-07-10,49.385,49.415,47.86,48.3,-1,-1,-1.0
2015-07-13,48.515,49.42,47.59,48.22,-1,-1,-1.0
2015-07-14,48.09,49.46,47.275,48.025,-1,-1,-1.0
2015-07-15,46.99,47.66,45.23,45.9,-1,-1,-1.0
2015-07-16,46.215,48.655,46.045,47.75,-1,-1,-1.0
2015-07-17,48.72,48.745,46.025,46.61,-1,-1,-1.0
2015-07-20,46.665,46.67,44.47,44.81,-1,-1,-1.0
2015-07-21,46.35,46.38,44.92,45.485,-1,-1,-1.0
2015-07-22,45.205,45.23,44.22,44.465,-1,-1,-1.0
2015-07-23,44.725,47.205,44.715,44.96,-1,-1,-1.0
2015-07-24,44.925,45.08,42.08,42.705,-1,-1,-1.0
2015-07-27,39.895,41.035,39.695,40.305,-1,-1,-1.0
2015-07-28,40.56,40.815,38.08,39.475,-1,-1,-1.0
2015-07-29,39.875,40.545,38.435,40.505,-1,-1,-1.0
2015-07-30,40.295,40.385,38.895,39.765,-1,-1,-1.0
2015-07-31,39.91,40.38,38.985,39.11,-1,-1,-1.0
2015-08-03,38.79,39.43,38.215,38.405,-1,-1,-1.0
2015-08-04,38.585,39.45,38.51,38.995,-1,-1,-1.0
2015-08-05,39.25,39.49,35.4,35.78,-1,-1,-1.0
2015-08-06,35.55,37.835,35.545,37.31,-1,-1,-1.0
2015-08-07,34.635,35.165,30.515,30.635,-1,-1,-1.0
2015-08-10,31.895,34.585,31.855,34.005,-1,-1,-1.0
2015-08-11,32.895,33.61,31.055,31.41,-1,-1,-1.0
2015-08-12,30.5,31.15,29.8,30.375,-1,-1,-1.0
2015-08-13,30.395,30.825,28.595,28.98,-1,-1,-1.0
2015-08-14,28.95,30.995,28.95,29.125,-1,-1,-1.0
2015-08-17,29.805,29.805,27.91,29.22,-1,-1,-1.0
2015-08-18,28.425,28.68,27.785,28.14,-1,-1,-1.0
2015-08-19,28.03,28.03,26.685,26.9,-1,-1,-1.0
2015-08-20,26.365,26.575,24.405,24.945,-1,-1,-1.0
2015-08-21,24.74,25.66,24.135,24.93,-1,-1,-1.0
2015-08-24,22.81,25.75,22.015,24.515,-1,-1,-1.0
2015-08-25,26.27,27.575,25.94,26.54,-1,-1,-1.0
2015-08-26,27.17,27.17,25.17,26.31,-1,-1,-1.0
2015-08-27,27.6,27.915,26.8,27.34,-1,-1,-1.0
2015-08-28,26.94,27.635,25.985,26.3,-1,-1,-1.0
2015-08-31,25.91,27.26,25.91,26.84,-1,-1,-1.0
2015-09-01,25.825,26.43,25.75,26.355,-1,-1,-1.0
2015-09-02,26.865,26.895,25.965,26.39,-1,-1,-1.0
2015-09-03,26.615,27.875,26.485,27.14,-1,-1,-1.0
2015-09-04,26.715,26.855,25.725,26.005,-1,-1,-1.0
2015-09-08,27.95,27.955,26.44,26.705,-1,-1,-1.0
2015-09-09,27.16,27.605,25.96,26.035,-1,-1,-1.0
2015-09-10,26.03,26.29,24.8,25.145,-1,-1,-1.0
2015-09-11,24.975,25.37,24.745,25.26,-1,-1,-1.0
2015-09-14,25.13,25.14,24.27,24.67,-1,-1,-1.0
2015-09-15,24.67,25.635,24.525,24.98,-1,-1,-1.0
2015-09-16,25.38,27.36,25.38,26.98,-1,-1,-1.0
2015-09-17,26.695,27.21,26.27,26.765,-1,-1,-1.0
2015-09-18,26.45,27.55,26.17,27.09,-1,-1,-1.0
2015-09-21,27.365,27.545,26.765,26.98,-1,-1,-1.0
2015-09-22,26.52,26.68,25.83,26.555,-1,-1,-1.0
2015-09-23,26.455,26.655,25.455,25.7,-1,-1,-1.0
2015-09-24,25.485,26.755,25.345,26.635,-1,-1,-1.0
2015-09-25,26.87,27.32,26.285,27.255,-1,-1,-1.0
2015-09-28,26.95,26.95,25.625,25.79,-1,-1,-1.0
2015-09-29,26.01,28.395,25.845,28.245,-1,-1,-1.0
2015-09-30,29.405,31.185,29.22,29.755,-1,-1,-1.0
2015-10-01,29.875,30.445,28.73,29.01,-1,-1,-1.0
2015-10-02,28.62,33.105,28.395,32.75,-1,-1,-1.0
2015-10-05,32.89,33.115,30.6,31.635,-1,-1,-1.0
2015-10-06,31.44,32.925,31.29,32.84,-1,-1,-1.0
2015-10-07,33.19,33.545,31.93,32.99,-1,-1,-1.0
2015-10-08,32.91,32.985,31.86,32.465,-1,-1,-1.0
2015-10-09,32.665,33.035,32.12,32.9,-1,-1,-1.0
2015-10-12,33.215,33.465,32.485,32.84,-1,-1,-1.0
2015-10-13,32.48,34.015,32.25,32.945,-1,-1,-1.0
2015-10-14,33.06,33.06,30.925,31.105,-1,-1,-1.0
2015-10-15,31.51,33.22,31.415,33.165,-1,-1,-1.0
2015-10-16,32.5,34.245,32.495,33.75,-1,-1,-1.0
2015-10-19,33.685,33.905,32.14,32.6,-1,-1,-1.0
2015-10-20,32.72,33.47,32.27,33.38,-1,-1,-1.0
2015-10-21,33.18,33.305,32.325,32.505,-1,-1,-1.0
2015-10-22,32.785,33.765,32.465,33.085,-1,-1,-1.0
2015-10-23,33.945,37.17,33.71,36.155,-1,-1,-1.0
2015-10-26,36.545,37.19,34.3,34.32,-1,-1,-1.0
2015-10-27,35.295,35.295,33.21,33.33,-1,-1,-1.0
2015-10-28,35.405,35.405,32.795,32.795,-1,-1,-1.0
2015-10-29,32.405,33.225,31.65,31.675,-1,-1,-1.0
2015-10-30,32.205,32.445,31.78,31.89,-1,-1,-1.0
2015-11-02,31.895,32.085,31.72,31.81,-1,-1,-1.0
2015-11-03,30.795,35.57,30.575,34.755,-1,-1,-1.0
2015-11-04,35.03,36.545,33.68,33.735,-1,-1,-1.0
2015-11-05,32.44,32.64,29.175,29.665,-1,-1,-1.0
2015-11-06,29.305,30.675,29.305,30.345,-1,-1,-1.0
2015-11-09,29.24,29.595,27.28,29.065,-1,-1,-1.0
2015-11-10,27.76,27.91,26.55,27.525,-1,-1,-1.0
2015-11-11,27.57,28.915,27.225,28.375,-1,-1,-1.0
2015-11-12,28.25,29.055,28.045,28.315,-1,-1,-1.0
2015-11-13,28.295,28.38,27.505,27.82,-1,-1,-1.0
2015-11-16,27.8,28.88,27.66,28.545,-1,-1,-1.0
2015-11-17,28.685,29.39,27.64,27.735,-1,-1,-1.0
2015-11-18,27.97,28.895,27.35,28.835,-1,-1,-1.0
2015-11-19,28.955,29.96,28.805,29.3,-1,-1,-1.0
2015-11-20,29.53,29.83,28.965,29.145,-1,-1,-1.0
2015-11-23,29.095,29.215,28.255,28.455,-1,-1,-1.0
2015-11-24,28.165,28.275,26.645,26.685,-1,-1,-1.0
2015-11-25,26.78,27.29,26.535,27.01,-1,-1,-1.0
2015-11-27,26.495,27.305,26.01,27.16,-1,-1,-1.0
2015-11-30,27.235,27.7,26.51,26.84,-1,-1,-1.0
2015-12-01,27.06,27.09,25.86,26.0,-1,-1,-1.0
2015-12-02,26.005,26.695,25.71,25.84,-1,-1,-1.0
2015-12-03,26.225,26.42,25.265,25.605,-1,-1,-1.0
2015-12-04,25.6,26.37,25.365,25.61,-1,-1,-1.0
