date,close1,close2,normalizedLogClose1,normalizedLogClose2,alpha,beta,spread
2017-03-20,114.825,56.435,-1.3871277643793416,-2.0101188351914203,-0.4787269345770484,-1.344951345861344,-1.0044744466247733
2017-03-21,111.11,54.865,-1.6852337581222052,-2.3683660108642606,-0.532406127263704,-1.5152116771913757,-1.4309546567180575
2017-03-22,111.685,55.275,-1.6384473582459724,-2.2738315242538265,-0.5785537716736315,-1.669850874572652,-1.2841302881807746
2017-03-23,111.905,54.095,-1.6206101573150862,-2.5478312490509056,-0.622662706901018,-1.8169024500979072,-1.3901472094782177
2017-03-24,111.775,54.95,-1.6311460783417993,-2.3487094821140087,-0.6539549398260112,-1.9288488678037587,-1.2382473785826889
2017-03-27,111.81,55.865,-1.6283082792627859,-2.139017467234599,-0.6838297606327703,-2.0333509540332115,-1.0576811278379248
2017-03-28,112.895,56.485,-1.5407743070649382,-1.9988741152715488,-0.7153014395721881,-2.1385790952424584,-0.8319927439998027
2017-03-29,113.425,56.99,-1.4983211503792304,-1.8858571781634736,-0.7382696054647157,-2.2175415198263653,-0.673050665438415
2017-03-30,113.485,57.185,-1.493527637658495,-1.8424847743327673,-0.7646331418814474,-2.2985897130896262,-0.6037628464356621
2017-03-31,112.66,57.495,-1.55966169150364,-1.7738373026247605,-0.7839541453662257,-2.3607428857531767,-0.5895259123483885
2017-04-03,111.015,57.795,-1.6929869842472036,-1.707755774846701,-0.8088442885081127,-2.4347098816136414,-0.6395856072850625
2017-04-04,109.825,58.005,-1.7906723902576374,-1.6617024817060175,-0.8344990169038493,-2.511216696707004,-0.6661447809209915
2017-04-05,107.985,57.25,-1.9438187220253966,-1.828060166695252,-0.8583237390982652,-2.5845409128218577,-0.9283452467780053
2017-04-06,110.905,57.905,-1.701972697107024,-1.6836117907457937,-0.877127728136291,-2.6533678008293675,-0.5253474813579873
2017-04-07,112.195,57.885,-1.5971509872684462,-1.6879981926906797,-0.8880988293775707,-2.693450856357322,-0.402809349831172
2017-04-10,112.405,57.395,-1.580201134549148,-1.7959411238628036,-0.8921377587721451,-2.717578811060743,-0.46484921261809387
2017-04-11,113.475,57.975,-1.494326380422871,-1.668271305910284,-0.8944225268228997,-2.7394287611982975,-0.24703705608298865
2017-04-12,113.385,57.85,-1.5015182344507414,-1.695678044164765,-0.898790468717394,-2.7559352818916825,-0.2696422166677017
2017-04-13,112.215,57.725,-1.5955353493007507,-1.7231440659139503,-0.9011915605635533,-2.7694172146268414,-0.37900102451072826
2017-04-17,109.875,58.325,-1.7865467038485472,-1.5918456595994976,-0.9210163947871898,-2.819966521344985,-0.43269613296552745
2017-04-18,109.095,59.035,-1.851122248930407,-1.4382096475182815,-0.9494355259755252,-2.8904880689358583,-0.3261215131491433
2017-04-19,109.15,59.45,-1.8465537381357615,-1.3492616901630001,-1.0392848334626135,-3.0919522771823678,-0.15686867191193166
2017-04-20,108.835,59.485,-1.8727500713324314,-1.3417884685805117,-1.152451771794526,-3.3353765479996804,-0.08372002132182566
2017-04-21,108.545,59.265,-1.896934449801909,-1.3888362380922195,-1.2192311180727935,-3.4739789705358226,-0.11626783865527557
2017-04-24,109.815,60.005,-1.7914977529320586,-1.2312727622945168,-1.402693555271227,-3.8552450207589137,0.3366488993753354
2017-04-25,110.385,60.49,-1.7445716195643048,-1.1290554311889578,-1.6311577851906942,-4.309179765729338,0.7229405896693288
2017-04-26,109.26,59.94,-1.8374236186213495,-1.2450347361914154,-2.0791111906990225,-5.188057218344312,0.7620679468983855
2017-04-27,109.945,60.47,-1.7807738958843469,-1.1332543521609726,-2.0401701588984285,-5.090947654217887,0.9981420466129531
2017-04-28,108.405,60.245,-1.9086328022328043,-1.1805881402034533,-1.9389738020744747,-4.8743425283239805,0.676580251196853
2017-05-01,108.425,60.745,-1.9069606843690456,-1.0756405479401843,-1.8647458832874126,-4.7197704812099985,0.8070135131724774
2017-05-02,109.875,60.44,-1.7865467038485472,-1.1395553382651358,-1.7520702663502907,-4.495590750678429,0.7124630217947896
2017-05-03,113.145,63.285,-1.5207244561975706,-0.5555042339253305,-1.6333936028926943,-4.270658045734638,1.8425765274636259
2017-05-04,115.715,63.605,-1.3171432207584686,-0.49146104024608683,-1.3723994165292885,-3.759836703786175,1.7682126381470997
2017-05-05,116.33,64.735,-1.2690968954668673,-0.2678583054387959,-1.1009942254597818,-3.2556691187371642,1.6916617757407402
2017-05-08,116.815,65.13,-1.2313855073591968,-0.19061589918603286,-0.8160792124360648,-2.746472877554921,1.3595296973101942
2017-05-09,118.305,64.475,-1.1165017135842321,-0.3189590569405258,-0.5736943749164396,-2.337547928890449,1.0380611985107846
2017-05-10,115.825,64.445,-1.3085308454256426,-0.3248685529688586,-0.38813220384885905,-2.044095026678535,0.6094722338278995
2017-05-11,115.135,64.065,-1.3626897499748756,-0.39996120079982417,-0.26700821006141945,-1.8781511429882443,0.4086684686937916
2017-05-12,116.455,65.005,-1.2593624476336047,-0.21500891568573524,-0.1408668792565166,-1.7151141330153137,0.42546405041673196
2017-05-15,119.605,65.385,-1.0174433299283145,-0.1409989811237006,0.013787898881855137,-1.5126764529791932,0.4971772027450567
2017-05-16,118.665,65.465,-1.0889616000792264,-0.12547275905475277,0.050389726443706484,-1.4507905992227217,0.36815153714840143
2017-05-17,114.435,63.195,-1.4179662467554637,-0.5735747354150345,0.08224681271195061,-1.4022456485087038,0.031454095593227205
2017-05-18,113.695,64.215,-1.4767702783148022,-0.37026629272965417,0.0885691434149693,-1.3968138095949576,-0.04716230033734292
2017-05-19,116.535,64.885,-1.2531378829807167,-0.23847038095545842,0.09014621707144654,-1.398706684414258,0.16706600416026252
2017-05-22,117.1,64.99,-1.2092981752061596,-0.2179392292270291,0.10054453443485295,-1.3836904976924154,0.1963049208239782
2017-05-23,118.105,64.605,-1.1318380107741177,-0.2933829745795796,0.1141411678733406,-1.3650275663991491,0.2666766309776991
2017-05-24,117.93,65.11,-1.1452785898864863,-0.19451563413795667,0.1314299939388774,-1.3416256008706933,0.22191219959997555
2017-05-25,117.635,65.915,-1.1679807790799057,-0.0384897486779651,0.15524064834080153,-1.31710163464709,0.15509602910642606
2017-05-26,118.065,65.965,-1.1349083865105578,-0.02886164926027492,0.1738333751425359,-1.2997639561272667,0.16987268751980245
2017-05-30,116.995,66.09,-1.2174293528620002,-0.004823292711819093,0.19326139342887713,-1.2810505216026806,0.06455332501108191
2017-05-31,118.655,65.435,-1.0897254744167995,-0.13129286774503557,0.20884497119813333,-1.270336664070363,0.20803104483629586
2017-06-01,138.61,67.09,0.3192406081261708,0.18586262918472096,0.22846394013725474,-1.2530077000666109,1.5297853996049708
2017-06-02,138.075,67.875,0.28418762631156114,0.3335702403623554,0.30225808370949214,-1.1506482688583224,1.3340115935354433
2017-06-05,140.54,68.325,0.4445786358256316,0.41747497454861515,0.36987645766364885,-1.061289725415889,1.351454196492257
2017-06-06,139.16,68.185,0.3551356263173439,0.3914306438805054,0.4386296364016472,-0.9718010726555687,1.1552436179711438
2017-06-07,139.995,68.65,0.40936050877095154,0.47772987124840366,0.49880532135247757,-0.8992095414871936,1.0702758483104073
2017-06-08,139.225,69.005,0.3593683877677366,0.5432216527880824,0.5724788118323546,-0.8240191767018195,0.8724046781198267
2017-06-09,134.055,65.565,0.016371030881414485,-0.1060916411902901,0.6355510378107203,-0.7652890922834144,0.8490867758263603
2017-06-12,133.005,66.575,-0.054904252346859105,0.08801706207453044,0.676336256047338,-0.7262896149088387,0.6118562323302055
2017-06-13,134.765,67.525,0.06425101981235895,0.26792551636344036,0.7159542996613167,-0.6951525128140055,0.5675811071969808
2017-06-14,133.875,66.585,0.004192147108581602,0.0899241718563752,0.7565187660982573,-0.6660218321233156,0.6021846556967045
2017-06-15,132.09,68.045,-0.11747589289013798,0.3653327830228877,0.7954424942397198,-0.6392065524654037,0.23112943942000158
2017-06-16,131.525,69.375,-0.1563298497691534,0.6111230814663344,0.8231145008420659,-0.6267593094140915,-0.03259481050928892
2017-06-19,134.17,70.86,0.024143426038919655,0.8800509118585027,0.8349611002930926,-0.6269779514006911,-0.08368690023970415
2017-06-20,132.325,70.36,-0.10136431231687933,0.7901373729726825,0.8394412967824152,-0.6304863144795367,-0.13415193884178211
2017-06-21,132.935,71.64,-0.05967592502905315,1.0190569146571105,0.8436714642727867,-0.6352633604053166,-0.28416180398980917
2017-06-22,136.065,71.795,0.15126843479095997,1.0464995749027346,0.8446229471460142,-0.6471168299414399,-0.08551229040899877
2017-06-23,138.395,73.025,0.3051701836829334,1.2621927933533752,0.8608013207909484,-0.6517338434516897,-0.1295931964767787
2017-06-26,137.135,71.785,0.2222689602427711,1.0447308693832742,0.8832396469376137,-0.6588555374518712,-0.041623226524266976
2017-06-27,134.97,69.425,0.07802859853989377,0.6202711632047406,0.9099768971550964,-0.6646872184425754,0.17828338849463687
2017-06-28,136.195,69.715,0.1599244060280504,0.6732004579302856,0.9496502584845155,-0.6658660850472253,0.1864855021898858
2017-06-29,134.705,67.525,0.060214592885106846,0.26792551636344036,0.9936219519159115,-0.6679513579847101,0.4619492763326968
2017-06-30,133.865,68.405,0.003515062407873005,0.4323334996449205,1.0260309539390131,-0.6632957991949395,0.2232233085423428
2017-07-03,132.885,65.965,-0.06308580125776823,-0.02886164926027492,1.0460481429283033,-0.6623690133434973,0.6294738866962877
2017-07-05,133.855,66.715,0.002837927125595468,0.11469056826745583,1.05969169336736,-0.6535011632441012,0.5348024478690916
2017-07-06,132.645,66.415,-0.07947108717362197,0.057464285402590215,1.0756698679536645,-0.6462351648275825,0.5049514773629046
2017-07-07,136.155,67.635,0.15726191057751057,0.28859330813289935,1.0941895011685583,-0.6406993535341947,0.48218549624518414
2017-07-10,137.625,67.095,0.2545984828941016,0.186808900147155,1.1144297615542595,-0.6352465633843325,0.6816596482312267
2017-07-11,139.095,68.225,0.3509008873319227,0.3988773338695742,1.130464926122202,-0.625440906042483,0.5254249576097167
2017-07-12,139.395,69.795,0.3704293509544643,0.6877628988110203,1.1575848146732275,-0.6206960548628986,0.19498151805808628
