date,close1,close2,normalizedLogClose1,normalizedLogClose2,alpha,beta,spread
2018-03-20,5.035,23.975,7.68853928062425,-2.8732801826265777,-0.18586706814194592,6.777880605805766,0.37661051132332624
2018-03-21,5.095,24.175,7.917355106964295,-2.725363647797667,-0.16712820825033176,6.844781703768254,0.6170882599090293
2018-03-22,5.015,23.875,7.611660996216977,-2.9477018185790254,-0.16988400001267911,6.857304343167696,0.25358927726442726
2018-03-23,5.015,23.375,7.611660996216977,-3.3245486996909377,-0.1916441093150455,6.801838259363805,0.17269256242640907
2018-03-26,5.075,23.475,7.8413839433098715,-3.2485385501924173,-0.20315773683561114,6.77271127248045,0.4087069309490925
2018-03-27,5.045,23.425,7.726863982599359,-3.2865030645322797,-0.21940334012724108,6.73539866152887,0.27039557137369297
2018-03-28,5.025,23.125,7.650138386348549,-3.516005925902968,-0.23686767817208793,6.6909686044004975,0.12634162184011277
2018-03-29,5.135,23.725,8.068406851998192,-3.05992078550192,-0.22331428963274638,6.729179344110396,0.6559034713409595
2018-04-02,5.145,23.525,8.105985936728327,-3.210654811475992,-0.19611276684637363,6.820610172839867,0.6557253654212811
2018-04-03,5.225,23.575,8.404015277658653,-3.172851505386336,-0.17638111387031602,6.889337701201404,0.9550464937920982
2018-04-04,5.145,24.175,8.105985936728327,-2.725363647797667,-0.1483687722842963,6.989067487670457,0.7125595906058786
2018-04-05,5.255,24.425,8.514601324715898,-2.54217941393135,-0.11222231780875756,7.1095842047489235,1.1197278538498896
2018-04-06,5.135,24.225,8.068406851998192,-2.6885757204965164,-0.06442544363829661,7.272438770112876,0.6227553983371754
2018-04-09,5.015,24.175,7.611660996216977,-2.725363647797667,-0.028209392118023063,7.385356142384863,0.14942400202718442
2018-04-10,5.035,24.375,7.68853928062425,-2.5786658006328707,0.009898159028305667,7.491251861524514,0.22281146327525292
2018-04-11,5.035,24.375,7.68853928062425,-2.5786658006328707,0.07089305426761625,7.660468629697325,0.21088014546923617
2018-04-12,4.965,24.675,7.418115855228807,-2.360860632368969,0.1316722740974547,7.829410119918316,-0.10043437639833197
2018-04-13,5.005,24.375,7.573106804856551,-2.5786658006328707,0.17995019204829008,7.950836251369191,0.08630195953960218
2018-04-16,4.965,24.4,7.418115855228807,-2.5604132613822435,0.2371537031243896,8.0998803805619,-0.07455303886749931
2018-04-17,5.045,24.625,7.726863982599359,-2.396976974325562,0.27142098155527944,8.187455657031485,0.1899981687047223
2018-04-18,4.985,24.975,7.495766787781328,-2.1456876151883226,0.32660824221786194,8.333525737523637,-0.13695968939701508
2018-04-19,4.845,24.675,6.9455383149723735,-2.360860632368969,0.3676733765472562,8.432897647964836,-0.6193337327318735
2018-04-20,4.745,23.975,6.542694861598514,-2.8732801826265777,0.3873016278862167,8.464654624548492,-0.8091336708454984
