date,close1,close2,normalizedLogClose1,normalizedLogClose2,alpha,beta,spread
2016-04-28,31.08,7.905,-1.5121907079750632,-1.4950822093092997,-1.143030452330264,-3.2986242919970303,0.07750909004422812
2016-04-29,29.685,7.715,-2.22450084004543,-1.689867558257343,-1.1104265927954824,-3.2242576591293606,-0.8767170559073918
2016-05-02,30.475,7.775,-1.8171052425797065,-1.627842911418464,-1.0712442933965955,-3.170325638359936,-0.3905970336229001
2016-05-03,29.925,7.745,-2.099599652053492,-1.658795172085863,-1.0484223921155755,-3.1374721058153825,-0.701245548586138
2016-05-04,29.385,7.565,-2.382055089252017,-1.8470645213754888,-1.0071704983242475,-3.0742306476610803,-1.1681333360217252
2016-05-05,29.285,7.525,-2.4349308263981637,-1.88951025695234,-0.9626991361124129,-3.017583607413555,-1.2363771110281698
2016-05-06,29.315,7.405,-2.4190491706033797,-2.0182145656063857,-0.9190482446226093,-2.9651870600364134,-1.308698664359297
2016-05-09,29.185,7.395,-2.487987428398355,-2.029033902551366,-0.8693087382173824,-2.9007822989087324,-1.3510620311168418
2016-05-10,29.285,7.375,-2.4349308263981637,-2.0507165376611516,-0.8188830359320345,-2.8386686851593868,-1.275559125434771
2016-05-11,29.965,7.315,-2.0788802200581227,-2.116119009896848,-0.7644423763181678,-2.7672201854873175,-0.9293110790684005
2016-05-12,28.885,7.395,-2.6482549035201104,-2.029033902551366,-0.7109640554280061,-2.6887707152905103,-1.4020543601884334
2016-05-13,28.945,7.365,-2.61606865824227,-2.0615799153398813,-0.6455764881458352,-2.5963488000416985,-1.3506273799776802
2016-05-16,29.49,7.455,-2.3267288765568663,-1.9643361111282032,-0.5985080952501357,-2.5396273198861263,-0.9627726209731398
2016-05-17,28.535,7.515,-2.8373509014962877,-1.9001569448522215,-0.5716194920660496,-2.5106874498423135,-1.4128301993161774
2016-05-18,28.845,7.445,-2.6697495648100564,-1.975082835051671,-0.5783926548862781,-2.552430373283001,-1.2596925961129082
2016-05-19,27.755,7.235,-3.26724675423691,-2.204161773357409,-0.5972284553628971,-2.613472603227278,-1.9701622822818208
2016-05-20,28.11,7.405,-3.070110500858254,-2.0182145656063857,-0.6876522830092927,-2.822421016796337,-1.635519337703756
2016-05-23,28.485,7.325,-2.8645537889862625,-2.1051814287956714,-0.013586327768944945,-1.6021894175676001,-1.2909660563233762
2016-05-24,29.805,7.545,-2.1619245273524936,-1.8682592607442456,0.35655346907516855,-0.8980852600232234,-0.5977049467790996
2016-05-25,29.845,7.895,-2.1411217313140924,-1.5052167779041585,0.36919778879823956,-0.8403666129500499,-0.7450324122998165
2016-05-26,31.015,7.825,-1.5446641995244343,-1.576520247720266,0.3626331249813537,-0.8313943090386069,-0.1415714264586495
2016-05-27,31.125,8.025,-1.4897488196071669,-1.3744575830715642,0.23830234845433124,-1.025552511233871,-0.1366598384764781
2016-05-31,31.195,8.435,-1.454903626102478,-0.9755188858726509,0.06835772116767211,-1.3018778882081894,-0.08634148990000767
2016-06-01,31.715,8.34,-1.1984755038623005,-1.066202331819773,0.03159608220949939,-1.3362811802252352,0.1714934928910723
2016-06-02,32.295,8.405,-0.9173733617790595,-1.004044954485358,0.08622790913472417,-1.2105605617206343,0.3797638970441165
2016-06-03,32.115,8.375,-1.004068040031588,-1.0326730235603694,0.1867289800982717,-1.0022501119003622,0.1910120523332004
2016-06-06,32.44,8.465,-0.8478866630935905,-0.9470940934563197,0.2560302221593027,-0.8524489477802435,0.24704699584003786
2016-06-07,33.065,8.455,-0.5518872511475159,-0.9565578157413008,0.29814375139870836,-0.7642658640292425,0.49757034849659243
2016-06-08,33.285,8.325,-0.44902513662130006,-1.080615131609201,0.35989481933741774,-0.6605478143556046,0.6004304652980779
2016-06-09,33.335,8.245,-0.42574221049768596,-1.1579246821678175,0.39730747412389616,-0.6013587830289119,0.6356687032290368
2016-06-10,32.485,8.095,-0.8263849665830301,-1.3049234526500273,0.4627068282683929,-0.49161260838231685,0.26902463370802127
2016-06-13,32.245,8.045,-0.941406652101811,-1.3545289900296305,0.4476202446162988,-0.5308905277519127,0.19579847350703306
2016-06-14,32.445,7.765,-0.8454961132743961,-1.638147041696466,0.4171855694269254,-0.6011782098935192,0.43909340301429667
2016-06-15,32.53,7.685,-0.8049130347929888,-1.7210610059793277,0.4198340689116624,-0.6052117157857957,0.522858725978307
2016-06-16,32.515,7.465,-0.8120670432853103,-1.9536037930051955,0.44096800200711134,-0.5886445209340134,0.6380542389637185
